110.3333,105,29.3333,1.3333,0,0,10.3333,1,1
77.2,32.8,388.4,6,0.4,49.4,34.6,-0.2,-1
210,89.6667,197,15,0,40.3333,16.6667,0.3333,1
26.5,23,171.5,18.5,0,7.5,25,0,1
89.8,36.4,406,26,0,37.4,27.4,0.2,1
265,97.2,310.6,12.4,0,75.6,11.8,-0.6,1
77,100,354,20,0,67.6,15.8,-0.6,-1
246.8,143.6,161.6,25.2,0.4,0,53,1,-1
169.4,114.8,161,11.8,0,20.2,14.2,0.2,-1
97.8,69.6,143.6,11.8,0.4,9.6,31.4,0.6,1
208,119.5,321.25,14,0,64.75,59.25,0,1
120.2,80,307.8,3.6,0.2,72.2,27.6,-0.2,1
305.8,377,109,12.2,0.2,1.6,28.6,0.6,1
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
303,190.8,194.2,22.6,0.2,4.6,55.4,0.6,-1
200.6,157.6,134.8,18.6,0,8.6,17.4,0.2,1
98.4,60.6,191.2,15.6,0.2,10.2,28.2,0.6,1
177.4,284.6,104,23,0,3.2,21.2,0.6,1
